comment,cleaned_comment
Editan dan pembawaan video mu bagus bag❤,dan bawa video bagus bag
Pentingnya punya kontrol diri dan kewarasan yang cukup 😐,punya kontrol diri dan waras yang cukup
kate siape konten bokep didemenin orang yg kaga ada duit? tuh gibran matanya ampe melorot plus muka aura mesum krn doyan nonton bokep. kudu diralat nih pernyataan mimin. kaga sesuai fakta,kate siape konten bokep didemenin orang kaga duit tuh gibran mata ampe lorot plus muka aura mesum krn doyan nonton bokep kudu ralat nih nyata mimin kaga sesuai fakta
ada bener nya juga sebernernya ngk hanya di konten erotis aja tapi konten lain di luar itu juga ada jadinya kayak inflasi influencer,bener nya juga sebernernya ngk hanya konten erotis aja tapi konten lain luar itu juga jadi kayak inflasi influencer
"di sosial media saya untung nya tidak ada hal yg seperti itu, tapi 1 platform ini saya searching apa, makin kebawh makin diluar dari pencarian dan menjurus ke konten seksual padahal yg saya cari tidak berhubungan sama sekali. inisial tiktok. apapun searchingnya pasti ada perempuan joget dengan lagu tiramisu cake",sosial media saya untung nya tidak hal seperti itu tapi platform ini saya searching apa makin kebawh makin luar dari cari dan jurus konten seksual padahal saya cari tidak hubung sama sekali inisial tiktok apa searchingnya pasti perempuan joget dengan lagu tiramisu cake
Genosida aja' bang,aja bang
Kadang suka heran sama warga indonesia giliran ada vidio edukasi tentang kabaikan yang membuat kita menjadi lebih baik malah sepi giliran kontes sex rame😂,suka heran sama warga indonesia gilir vidio edukasi tentang kabaikan yang buat kita jadi lebih baik malah sepi gilir kontes sex rame
yap abang ini benar sekali. nonton video porno itu mudah karena nggak perlu membuat otak berpikir justru malah membuatnya berhenti berpikir. maka dari itu kalau kalo ada konten edukasi sudah pasti penontonnya sedikit karena perlu otak untuk bisa menontonnya.,yap abang ini benar sekali nonton video porno itu mudah karena nggak perlu buat otak pikir justru malah buat henti pikir maka dari itu kalau kalo konten edukasi sudah pasti tonton sedikit karena perlu otak untuk bisa tonton
"8:25, contohnya kinderflix, waktu awal awal mereka bikin konten, banyak komen menjijikkan",contoh kinderflix waktu awal awal mereka bikin konten banyak komen jijik
"Km adl apa yg km tonton,apa yg kau ucapkan,apa tindakan yg km lakukan,apa kebiasaamu hingga pengalaman mu,siapa teman/komunitasmu,",adl apa tontonapa kau ucapkanapa tindak lakukanapa kebiasaamu hingga alam musiapa temankomunitasmu
"Nemu ni video direkomendasikan ama Youtube, seneng banget ada yang ngebahas beginian. Semangat terus ya!",video rekomendasi ama neng banget yang ngebahas begini terus
Konten kaya gitu emg mau menyaingi hewan harap di maklumi 😂,kaya gitu emg mau saing hewan harap maklum
7:27 banyak juga kasus pedofilia krna kebanyakan berfantasi sama anime2 anak kecil yg biasa nya di bikin ga relate sama umur karakter ny.,banyak juga kasus pedofilia krna banyak fantasi sama anime anak kecil biasa nya bikin relate sama umur karakter
"Kebanyakan dulu harus niat/effort buat nonton begituan (only 18+) , sekarang baru buka beranda fypnya begitu. Miris nyari pergaulan sekarang kalo ga sepemikiran kayak gini",dulu harus niateffort buat nonton begitu only sekarang baru buka beranda fypnya begitu nyari gaul sekarang kalo pikir kayak gin
Kalo mereka di zaman zaman nabi udah di cambuk sampai mati,mereka zaman zaman nabi udah cambuk sampai mati
Cewek sekarang miris banget astagfirullah 😢 bahkan kalo mereka ke zaman jahiliah pasti mereka udah di kubur hidup hidup,sekarang miris banget astagfirullah bahkan kalo mereka zaman jahiliah pasti mereka udah kubur hidup hidup
Benar sih. Manusia pada abad ke-21 ini udah pada gak waras.,sih pada abad ini udah pada gak waras
"Iya konten seksual dibuat sm org yg iqnya jongkok, cuma bisa pamer badan yg vulgar. Tmbh kominfo jg ngebiarin krn seleranya begitu tolol2 smua",konten seksual buat org iqnya jongkok cuma bisa pamer badan vulgar kominfo ngebiarin krn selera begitu tolol smua
"Selama aplikasi macam bigo live, tik tok, michat, dll sejenisnya masih ada pasti susah Dibrsntas konten dewasa kek pamer badan cewe,",aplikasi macam bigo live tik tok michat dll jenis masih pasti susah konten dewasa kek pamer badan cewe
Setuju banget bang sama luu 👏👏,banget bang sama luu
"Gua lebih suka tiktok isinya memes,ilmu, cinematic kendaraan kalo ada konten kayak begituan langsung ku blokir biar fyp ku gak rusak",lebih suka tiktok isi sil cinematic kendara kalo konten kayak begitu langsung blokir biar fyp gak rusak
"Pengalaman pribadi bang gw dulu cc di tiktok, setelah bbrp bulan gw nemu catch cara fyp dan itu surprisingly mudah banget karena rata rata pengguna tiktok itu minim literasi, jadi gw tinggal buat sebuah ""bait"" atau ""catch"" yang bisa mancing emosi mereka bisa diantara marah, senang, atau bahkan boost ego mereka soalnya gw spik spik share some  kind of secrets to them, paling mudah itu ngetroll sih, mancing orang orang short temper apalagi tipe orang kayak gitu bakal ngerasa kalo dirinya selalu benar padahal udah jelas kalo diliat that kind of vt are some kind of joke",pribadi bang dulu tiktok telah bbrp bulan nemu catch cara fyp dan itu surprisingly mudah banget karena rata rata guna tiktok itu minim literasi jadi tinggal buat buah bait atau catch yang bisa mancing emosi mereka bisa antara marah senang atau bahkan boost ego mereka soal spik spik share some kind secrets them paling mudah itu ngetroll sih mancing orang orang short temper apalagi tipe orang kayak gitu bakal ngerasa kalo diri selalu benar padahal udah jelas kalo liat that kind are some kind joke
Input=output,output
"Sangat fakta, konten yang berbau seksual atau erotis pasti endorsenya judol😂😂 dasar murahan",fakta konten yang bau seksual atau erotis pasti endorsenya judol dasar murah
Sangean + SDM rendah,sdm rendah
backsoudnya apa kak?,backsoudnya apa kak
ini orang harus nya 1jt atau lebih subscribenya pas ngeliat aslinya bikin sedih coy,ini orang harus nya atau lebih subscribenya pas ngeliat asli bikin sedih coy
Keren banget loh analisis nya,banget loh analisis nya
"Karena kurangnya pendidikan dan ilmu. Makanya murah dan dapat di pertontonkan dengan modal goyang😅 seharusnya dari oknum harus tegas membatasi hal hal yg mangandung negatif dari budaya barat. Masih inget banget zaman 2000 an, org makai keliatan perutnya aja malu atau terlihat menjeplak dari luar pun malu. Untuk zaman 2024 ini lebih bebas lingkungan di sosial media. Lebih tepatnya dewasa sejak dini. Miris dan turut prihatin😢 tapi bismillah semoga keluarga kerabat yg kita sayang dapat ilmu dan pendidikan yg bermanfaat bagi dia maupun untuk orang lain😊 semangat abang kontennya!!",kurang didik dan ilmu murah dan dapat tonton dengan modal goyang harus dari oknum harus tegas batas hal hal mangandung negatif dari budaya barat inget banget zaman org maka liat perut aja malu atau lihat menjeplak dari luar pun malu zaman ini lebih bebas lingkung sosial media tepat dewasa sejak dini dan turut prihatin tapi bismillah moga keluarga kerabat kita sayang dapat ilmu dan didik manfaat bagi dia maupun untuk orang lain semangat abang konten
langsung subscribe! keren channelnya 👍,langsung subscribe keren channelnya
Auto subscribe bang,subscribe bang
Avarage tiktok video 😹,tiktok video
"alasannya cukup simple, orang-orang jaman skrg merasa hidup mereka menderita dan karena hal-hal yang berbau seksual itu menghasilkan endorfin dan dopamin itu membuat mereka senang jadi ya berfokus pada mendapatkan kesenangan dprd mengimprove diri untuk mendapatkan kesenangan yg benar",alas cukup simple orangorang jaman skrg rasa hidup mereka derita dan karena halhal yang bau seksual itu hasil endorfin dan dopamin itu buat mereka senang jadi fokus pada dapat senang dprd mengimprove diri untuk dapat senang benar
"Eksploitasi  motif biologis dan hormon hormon melalui teknologi untuk dikapitalisasi, peradaban menuju akhir.",motif biologis dan hormon hormon lalu teknologi untuk kapital adab tuju akhir
"tarik kata ""mau viral dengan cara aneh""",tarik kata mau viral dengan cara aneh
"8:47 capek cuy mau dapat informasi tentang anime, karena konten tersebut info anime dan manga jarang lewat sampai ketinggalan informasinya 😔 
Note anime yang normal tidak ada unsur sexnya",capek cuy mau dapat informasi tentang anime karena konten sebut info anime dan manga jarang lewat sampai tinggal informasi anime yang normal tidak unsur sexnya
Salut sih gua SMA lu bg ❤,sih gua sma
"Jd intinya biar semakin menarik, maka konten edukasi harus dibarengi dengan konten erotis. 
Hmmm ide yg bagus bukan? 😂",inti biar makin tarik maka konten edukasi harus bareng dengan konten erotis ide bagus bukan
Saya senang ada konten seperti ini,senang konten seperti ini
Luahan youtuber yg masi jomblo lg introvert 😂,youtuber mas jomblo introvert
"Kenapa konten-konten berbau sex di media sosial dilarang di semua negara meskipun negara tersebut melegalkan prostitusi atau pun melegalkan industri film porno alasan yang pasti dan tepat adalah untuk melindungi masa depan generasi yang akan datang itu artinya jika ada kasus prostitusi anak di bawah umur semisal umur 10 tahun atau umur 12 tahun melakukan praktek sex seusia mereka karena akibat sering menonton konten-konten sex dewasa di media sosial yang harus bertanggung jawab adalah pemerintah, orang tua dan orang-orang dewasa di negara tersebut karena dianggap gagal melindungi Generasi muda yang akan datang karena hal itu berhubungan langsung dengan akan kehancuran sebuah negara.bahkan film film Hollywood internasional yang resmi pun di kritik karena ada agedan sex dibawah umur seperti film game of thores dikritik karena menampilkan pemeran usia 13 tahun melakukan adegan sex yaitu Maisie Williams(arya stark) dan banyak film-film Hollywood lainnya kenapa larangan konten-konten video berbau sex sangat dilarang meskipun di negara yang melegalkan prostitusi dan industri film porno jawaban bisa merusak masa depan generasi muda yang akan datang dan juga merusak masa depan negara tersebut",kontenkonten bau sex media sosial larang semua negara meski negara sebut legal prostitusi atau pun legal industri film porno alas yang pasti dan tepat adalah untuk lindung masa depan generasi yang akan datang itu arti jika kasus prostitusi anak bawah umur misal umur tahun atau umur tahun laku praktek sex usia mereka karena akibat sering tonton kontenkonten sex dewasa media sosial yang harus tanggung jawab adalah perintah orang tua dan orangorang dewasa negara sebut karena anggap gagal lindung muda yang akan datang karena hal itu hubung langsung dengan akan hancur buah negarabahkan film film internasional yang resmi pun kritik karena agedan sex bawah umur seperti film game thores kritik karena tampil per usia tahun laku adegan sex yaitu arya stark dan banyak filmfilm lain kenapa larang kontenkonten video bau sex sangat larang meski negara yang legal prostitusi dan industri film porno jawab bisa rusak masa depan generasi muda yang akan datang dan juga rusak masa depan negara sebut
Ez bgt jdi cewe bjir pamer dada doang 😂,bgt jdi cewe bjir pamer dada doang
Video ini sangat keren,ini sangat keren
"Mau menambahkan Sedikit bang, mungkin salah satu alasan lain konten kyk ""gitu"" laris karna pengaruh ""Attention Span"" kita yang sudah sangat berkurang bahkan faktosnya sekarang pembuat konten kyk gitu sadar ga sadar, sengaja ga sengaja mempersingkat durasi inti fornonya biar bisa diliat kurang dari 1-2 dtk awal",tambah bang mungkin salah satu alas lain konten kyk gitu laris karna pengaruh kita yang sudah sangat kurang bahkan faktosnya sekarang buat konten kyk gitu sadar sadar sengaja sengaja singkat durasi inti fornonya biar bisa liat kurang dari dtk awal
sehat-sehat content creator edukasi,sehatsehat content creator edukasi
ngocog,ngocog
"terimakasih bang kontennya, konten lu semua membuka pola pikir orang yang masih blom bisa mikir tinggi konten lu bermanfaat bang semangat terus terimakasih juga",terimakasih bang konten konten semua buka pola pikir orang yang masih blom bisa mikir tinggi konten manfaat bang semangat terus terimakasih juga
"alhamdulillah dh 2 bulan uninstall fg ig 
tinggal yt short saja 
tp youtube tk sebahaya 3 medsos ni",alhamdulillah bulan uninstall tinggal short saja youtube bahaya medsos
Ambatukam12,ambatukam
Mahal king,king
"Makasih kak udah dibahas, suka miris kalo orang-orang cuma nyalahin kreatornya, padahal penonton juga ikut andil.
Konten ""murahan"" naik ya gara-gara demandnya besar. 

""semakin kita tinggalin hal-hal tersebut , mereka akan ga laku dengan sendirinya"" 
i stand with youu🎉🎉",kak udah bahas suka miris kalo orangorang cuma nyalahin kreator padahal tonton juga ikut andil murah naik garagara demandnya besar makin kita tinggalin halhal sebut mereka akan laku dengan sendiri stand with youu
untung gw aroace ahahaha,untung aroace ahahaha
Patut diapresiasi keberanian lu bang🔥🔥,apresiasi berani bang
"Tiktod tuh sarang nya,dulu mah liat cewek joged rare banget jatoh nya,skrg mah udh bejibun di mana mana",tuh sarang nyadulu mah liat cewek joged rare banget jatoh nyaskrg mah udh bejibun mana mana
"Gw yg liat mereka joget2 x hampir bugil be like:
""Orang bodoh ke berapa ini ya?""🗿",liat mereka joget hampir bugil like bodoh berapa ini
"Ini semua juga karena cara algoritma tiktok bekerja, semenjak ada tiktok jadi makin banyak konten"" vulgar & konyol, orang berlomba2 untuk fyp, untuk brand owner tolong lebih selekftif lagi saat mau endorse, dipastikan boncos kalian kalau ngendorse di mereka",semua juga karena cara algoritma tiktok kerja semenjak tiktok jadi makin banyak konten vulgar konyol orang lomba untuk fyp untuk brand owner tolong lebih selekftif lagi saat mau endorse pasti boncos kalian kalau ngendorse mereka
Keren banget kontennya bro 👍,banget konten bro
LOUDER 🗣🗣🗣,louder
terutama tiktok,utama tiktok
"Semangat terus bang aku dukung konten mu untuk mengembalikan moral anak-anak bangsa, dan saran nya bang banyakin konten edukasi begini terutama di tiktok dan ig",terus bang aku dukung konten untuk kembali moral anakanak bangsa dan saran nya bang banyakin konten edukasi begini utama tiktok dan
"Gua mau cerita
Gua nabung uang dari kecil, dikit demi dikit sampe akhirnya bisa beli HP, gua coba coba buat konten gaming buat sampingan sambil sekolah, tapi ya.... Kalah sama orang orang yang bikin konten gak jelas.",mau cerita nabung uang dari kecil dikit demi dikit sampe akhir bisa beli gua coba coba buat konten gaming buat samping sambil sekolah tapi sama orang orang yang bikin konten gak jelas
"Untuk hal ini memang ilmu agamanya harus diperkuat, dan lagi ini hal yang munkar itu efeknya bukan hanya didunia lur, tapi diakhirat, yaitu dosa jariyah.

Gilaa bayangin aja orang tersebut dah wassalam tapi belum tobat, rekam²an yang terbuka aurat masih terus ditonton orang.

Dosa nya terus ngalirrrrrr tanpa henti.",hal ini memang ilmu agama harus kuat dan lagi ini hal yang munkar itu efek bukan hanya dunia lur tapi akhirat yaitu dosa jariyah bayangin aja orang sebut dah wassalam tapi belum tobat rekam yang buka aurat masih terus tonton orang nya terus ngalirr tanpa henti
Kebanyakan konten seperti ini dibuat oleh Muslim... Sedih sih,konten seperti ini buat oleh sih
Ini Mas wapres fufufafa ?,wapres fufufafa
"Isi tiktod cuma paha ama dada duang jir, tapi ini bukan tentang ayam💀",tiktod cuma paha ama dada duang jir tapi ini bukan tentang ayam
"Keren bang, akhirnya bahas inian. Aku sebagai cewe kecewa sama mereka yang ingin terkenal hanya dengan konten vulg4r. Seharusnya cewe bisa menjungjung harga diri wanita seperti Ibu Kartini, kita berhak bebas mendapat pendidikan, pekerjaan, kekuasaan, dll.

Di sekolah sering dibully jelek tapi aku tak peduli, aku terus mengembangkan bakat dan nilai akademik. Jangan pernah merasa diri kita rendah karna penampilan bukanlah segalanya, jangan pernah menyerah dan memilih jalan yang salah. Jadi buat kalian yang sering merasa Insecure semangatlah! 👍",bang akhir bahas ini bagai cewe kecewa sama mereka yang ingin kenal hanya dengan konten vulgr cewe bisa menjungjung harga diri wanita seperti kita hak bebas dapat didik kerja kuasa dll sekolah sering dibully jelek tapi aku tak peduli aku terus kembang bakat dan nilai akademik pernah rasa diri kita rendah karna tampil bukan segala jangan pernah serah dan pilih jalan yang salah buat kalian yang sering rasa semangat
bener sosial media merusak setandar keindahan manusia,bener sosial media rusak setandar indah manusia
"Yang saya apresiasi dari mereka dalam hal ini para konten kreator seksual cuma pada poin effort mereka pandai ngerawat fisik aja sih, sisanya yaa nggak nggak amat. Saya akui memang manusia itu makhluk seksual, cuma ya setahu saya manusia itu makhluk yang berpikir. Kalau cuma seksual doang baik hewan dan tumbuhan juga seksual. Meskipun manusia sendiri dalam taksonomi tergabung dalam kingdom Animalia, manusia sepanjang ribuan tahun sudah dan tetap mencari makna hidup yang lebih tinggi daripada hanya bereproduksi dan kembang biak semata.",saya apresiasi dari mereka dalam hal ini para konten kreator seksual cuma pada poin effort mereka pandai ngerawat fisik aja sih sisa yaa nggak nggak amat aku memang manusia itu makhluk seksual cuma tahu saya manusia itu makhluk yang pikir cuma seksual doang baik hewan dan tumbuh juga seksual manusia sendiri dalam taksonomi gabung dalam kingdom manusia panjang ribu tahun sudah dan tetap cari makna hidup yang lebih tinggi daripada hanya reproduksi dan kembang biak semata
Lanjut teruss bangg aku lebih sukaa konten yg bgini pliss. Semangattt bangg. Aku followers mu baruu,teruss bangg aku lebih sukaa konten bgini pliss bangg followers baruu
Mantap bang udh ku subscribe Tuhan memberkati bang❤ Smngat trus bang menjadi peribadi yng baik dn buat konten ginian 🔥🤙🏻,bang udh subscribe kati bang trus bang jadi peribadi yng baik buat konten ginian
inti permasalahannya adalah handphone dan internet,inti masalah adalah handphone dan internet
"Gw respect samalu bro mau mengangkat materi ini, agar moral kita kembali seperti semula🙏
Era digital ini sangat berpengaruh pada moral manusia saat ini, sampai"" etika dan perilakunya tidak memiliki arti lagi",respect samalu bro mau angkat materi ini agar moral kita kembali seperti mula digital ini sangat pengaruh pada moral manusia saat ini sampai etika dan perilaku tidak milik arti lagi
Black Mirror is getting real day by day...,getting real day day
"Gua paling ga suka kalo orang buat konten  seksual pake identitas agama, misalnya pake atribut jilbab/ kerudung tapi sengaja banget pamer teteknya. Masalahnya jadi jelek pandangan orang ke muslimah real asli yang baik jadi jelek itu gara2 oknum2 kayak gitu yang entah kosplay pake jilbab atau apa yang jadi motifasi dia pake atribut agama begitu, sangat meresahkan",paling suka kalo orang buat konten seksual pake identitas agama misal pake atribut jilbab kerudung tapi sengaja banget pamer tetek jadi jelek pandang orang muslimah real asli yang baik jadi jelek itu gara oknum kayak gitu yang entah kosplay pake jilbab atau apa yang jadi motifasi dia pake atribut agama begitu sangat resah
mahkota mu jatuh king,mahkota jatuh king
Perasaan makin canggih teknologi kok makin jahiliah yah~,makin canggih teknologi kok makin jahiliah yah
"celah yang mereka (para membuat konten yang menjual erotisme) yang bisa mereka manfaatkan (selagi masih populer)
- monetisasi video syur mereka (akun ig/youtube/facebook) digunakan hanya sebagai gerbang utama, entah hanya dengan menampilkan foto/video mereka versi tidak terlalu terbuka/ trailer, dan konten syur utamanya bisa mereka taruh di plaform yang mengharuskan suscribe berbayar (misal onlyf4ns/ bayar per-video)
-  gak sedikit mereka yang memiliki / terjun ke dunia erotis begini termasuk kalangan yang berpendidikan, beberapa dari mereka mengatas namakan ""freedom of speech"" dan ""hak asasi individu"" dan ""kebebasan individu"" dan ""empowering women's body""
- menjual video syur diri kita (dengan harga tidak gratis) jauh lebih menguntungkan daripada harus menjual diri secara tradisional (dapat keuntungan yang lumayan tanpa resiko penyakit menular seksual)
..
..
perempuan-perempuan sekarang hampir semuanya matrealistis, cuma mau ngingetin, disaat kita (sebagai laki-laki) rela untuk membayar ""konten eksklusif"" seorang perempuan / disaat kita menonton video joged-joged seorang perempuan, dia (yang kita tonton / kita beli konten ""c0Lmek""nya akan mendapatkan:
- dia akan semakin kaya (asumsi yang rela membayar video dia ratus-ribuan laki-laki)
- dia akan mendapat tawaran beberapa produk (lagi-lagi, dia akan mendapatkan income, saldo kalian yg nonton akan berkurang hanya untuk kesenangan yang seharusnya bisa kalian (laki-laki) dapatkan gratis)
- disitulah biasanya celah istilah ""feminisme"" dapat dia gunakan, banyak laki-laki yang ""tunduk"" karena mau membayar berapa pun hanya untuk melihatnya tanpa busana, 
..
..
..
..
tips:
- lagi sange?, nont0n b0k3p yang gratis aja lah, jangan sampe kita mengeluarkan uang yang ""lumayan"" cuma buat numpang ejakul4s1), jangan sampai kes4ng3an laki-laki dapat digunakan perempuan untuk mendapatkan keuntungan,  jauhin masturb4si, kalo gk bisa ya itu, cari konten yg gratisan, block akun-akun perempuan (dan juga g4y) agar gk muncul di beranda kalian, inget, jangan sampai bayar kalau hanya virtu4l, cuma mereka yang mendapatkan keuntungan, kalian cuma ""cr0t"" dan akhirnya kembali menatapi diri dan melihat saldo berkurang,",celah yang mereka para buat konten yang jual erotisme yang bisa mereka manfaat selagi masih populer monetisasi video syur mereka akun igyoutubefacebook guna hanya bagai gerbang utama entah hanya dengan tampil fotovideo mereka versi tidak terlalu buka trailer dan konten syur utama bisa mereka taruh plaform yang harus suscribe bayar misal onlyfns bayar video gak sedikit mereka yang milik terjun dunia erotis begini masuk kalang yang didik beberapa dari mereka atas nama freedom speech dan hak asasi individu dan bebas individu dan empowering womens body jual video syur diri kita dengan harga tidak gratis jauh lebih untung daripada harus jual diri cara tradisional dapat untung yang lumayan tanpa resiko sakit tular seksual perempuanperempuan sekarang hampir semua matrealistis cuma mau ngingetin saat kita bagai lakilaki rela untuk bayar konten eksklusif orang perempuan saat kita tonton video jogedjoged orang perempuan dia yang kita tonton kita beli konten clmeknya akan dapat dia akan makin kaya asumsi yang rela bayar video dia ratusribuan lakilaki dia akan dapat tawar beberapa produk lagilagi dia akan dapat income saldo kalian nonton akan kurang hanya untuk senang yang harus bisa kalian lakilaki dapat gratis situ biasa celah istilah feminisme dapat dia guna banyak lakilaki yang tunduk karena mau bayar berapa pun hanya untuk lihat tanpa busana tips lagi sange nontn bkp yang gratis aja lah jangan sampe kita keluar uang yang lumayan cuma buat numpang ejakuls jangan sampai kesngan lakilaki dapat guna perempuan untuk dapat untung jauhin masturbsi kalo bisa itu cari konten gratis block akunakun perempuan dan juga agar muncul beranda kalian inget jangan sampai bayar kalau hanya virtul cuma mereka yang dapat untung kalian cuma crt dan akhir kembali tatap diri dan lihat saldo kurang
"yang hilang bukan harga diri manusia, tapi harga diri wanita. Sorry to say, tapi kebeneran nya seperti ini.",yang hilang bukan harga diri manusia tapi harga diri wanita say tapi kebeneran nya seperti ini
"Setiap ada konten Edukasi, Sains, atau apapun itu yg menambah ilmu dan wawasan pasti saya like biar algoritma atau fyp nya konten tsb",konten atau apa itu tambah ilmu dan wawas pasti saya like biar algoritma atau fyp nya konten tsb
Indonesia darurat kekerasan sexual pemerkosaan pelecehan segera sah kan hukum kebiri dan bagi yg sdh ber suami atau istri hukuman mati saja biar jera,darurat keras sexual perkosa leceh segera sah kan hukum kebiri dan bagi sdh ber suami atau istri hukum mati saja biar jera
Doain saya bang...saya ingin buat konten olahraga😊,saya bangsaya ingin buat konten olahraga
Yang saya kuatir kan banyak anak² kecil yang masih sekolah dasar yang suka nonton hal seperti itu,saya kuatir kan banyak anak kecil yang masih sekolah dasar yang suka nonton hal seperti itu
Makin canggih makin jahiliyah🙂,canggih makin jahiliyah
"Efek Rumah Kaca dulu nanya di lagunya rekam-rekam aib buat apa? Nah bilangin sama mas Cholil, jawabannya ada di video ini.",dulu nanya lagu rekamrekam aib buat apa bilangin sama mas jawab video ini
"Itulah kenapa ga mau instal tiktok, emang sih bisa disaring, tapi ada aja yang nyelip🗿",kenapa mau instal tiktok emang sih bisa saring tapi aja yang nyelip
"Setuju banget semuanya sama lo bang, keep doing it🔥",banget semua sama bang keep doing
Lansung gua subscribe👍🏻👍🏻,gua subscribe
"Oke gw akan liat lu secara effort, trus effort lo bikin video ini apa bro? Mana risetnya? Jurnal ilmiahnya mana? Jngn google doang ente, ini video udah kek cewe ngomel2 iri kontennya ga laku, tontonan hiburan selamanya ga akan hilang, bener kata google otak butuh kesenangan ngeluarin 4 hormon bahagia, hiburan berpindah dr radio ke tv ke internet ke sosial media. apakah hiburan bs diganti dg edukasi? Pikir aja sndiri, edukasi dan hiburan berbeda channel ya dek, kalo pengen laku agak ilmiah dikit, tak kasi saran channel 'ALAM SEMENIT' bagaimana dia membuat riset ilmiah menjadi tontonan. Ngrengek aja lu jiiii ji",akan liat cara effort trus effort bikin video ini apa bro riset ilmiah mana google doang ente ini video udah kek cewe ngomel iri konten laku tonton hibur lama akan hilang bener kata google otak butuh senang ngeluarin hormon bahagia hibur pindah radio internet sosial media apakah hibur ganti edukasi aja sndiri edukasi dan hibur beda channel dek kalo ken laku agak ilmiah dikit tak kasi saran channel alam menit bagaimana dia buat riset ilmiah jadi tonton aja jii
konten tutorial 💀,konten tutorial
"Terima kasih banyak, bang, sudah berbagi ilmu dan mindset yang positif. Sehat-sehat orang baik 🙏",kasih banyak bang sudah bagi ilmu dan mindset yang positif sehat orang baik
inilah yang namanya lookism bang,ini yang nama lookism bang
"Monetisasi seksual, malah dpt banyak di platform OF dan juga konten eksklusif ig / youtube , 20.000 sd 200.000 / bulan. Jika follower atau subs 1 juta. Estimasi 25.000 orang mau bayar 20.000 = 500 jt/bln itu tuk harga terendah termurah 20.000 yg skrg sdh ada qris, indomaret dll

Jadi mereka juga untung jk menanfaatkan nya, yg lu bilang duit mereka dikit, lu salah ga rekevan. Seperti yg lu bilang ketika otak sudah mengaktifkan hormon nya, manusia akan jadi binatang dan ingin lihat konten yg lebih vulgar lagi. Dan biaya terendah 20rb/bln akan dikucurkan. Belum lagi platform lain yg lebih mahal.

Muehehe 🗿",seksual malah dpt banyak platform dan juga konten eksklusif youtube bulan follower atau subs juta orang mau bayar jtbln itu tuk harga rendah murah skrg sdh qris indomaret dll mereka juga untung menanfaatkan nya bilang duit mereka dikit salah rekevan bilang ketika otak sudah aktif hormon nya manusia akan jadi binatang dan ingin lihat konten lebih vulgar lagi biaya rendah rbbln akan kucur lagi platform lain lebih mahal
Sekarang tinggal pamer tt doang sudah terkenal padahal otaknya kosong,tinggal pamer doang sudah kenal padahal otak kosong
Kerennn nih channel ❤,nih channel
"Masalahnya jika kita nasehatin
1.di bilang sok suci,mabok agama,munafik
2.urusan dialah,gak ganggu elo
3.banyak bacot
Dan lain2..kalian tambahin sendirilah",jika kita nasehatin bilang sok sucimabok agamamunafik urus dialahgak ganggu elo banyak bacot lainkalian tambahin sendiri
"BANG JUJUR EDIT KEK GINI BERAPA LAMA?
Ge masih belajan dan nyampai 4hari gk kelar2",bang jujur edit kek gin berapa lama masih bajan dan nyampai hari kelar
Kelazzz ini,ini
"Gw juga muak liatnya, setiap buka beranda muncul konten pamer body.
Jogat joget ga jelas percis orang gila, soundtrack ga bermutu dll.",juga muak liat tiap buka beranda muncul konten pamer body joget jelas percis orang gila soundtrack mutu dll
saya se7,saya
"Apa yang saya dapat dari video ini (ringkasan daripada apa yang saya mengerti)

Konten ber-erotis: Bersifat jangka pendek (Mau itu kepuasan, kepopuleran, atau kenikmatannya)

Konten ber-ilmu: Bersifat jangka panjang (Mau itu ilmu yang disampaikan, manfaatnya, atau kebaikannya)",yang saya dapat dari video ini ringkas daripada apa yang saya erti bererot jangka pendek itu puas populer atau nikmat beril jangka panjang itu ilmu yang sampai manfaat atau baik
"Setelah menonton ini, semakin yakin saya bahwa ketetapan Allah SWT dalam memberi balasan atas dosa tidak sekaligus semua langsung di akhirat saja, tapi perlahan-lahan tanpa disadari diberi balasan didunia juga.",tonton ini makin yakin saya bahwa tetap swt dalam beri balas atas dosa tidak sekaligus semua langsung akhirat saja tapi perlahanlahan tanpa sadar beri balas dunia juga
"Semangat bang, emang meresahkan seperti ini",bang emang resah seperti ini
"Aku adalah anak otomotif, aku suka mobil, bukan konten erotis!!, bukankah nabi Muhammad berusaha meningkatkan derajat perempuan?,tapi sekarang 😢, ahh sudah lah dasar betina.",adalah anak otomotif aku suka mobil bukan konten erotis bukankah nabi usaha tingkat derajat perempuantapi sekarang ahh sudah lah dasar betina
